t=2026-06-14T21:39:17+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-14T21:39:17+0530 lvl=info msg="using configuration at default config path" path=/home/aryan-budukh/.config/ngrok/ngrok.yml
t=2026-06-14T21:39:17+0530 lvl=info msg="open config file" path=/home/aryan-budukh/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T21:39:17+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T21:39:17+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T21:39:17+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T21:39:17+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T21:39:18+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://2e76-2401-4900-8fc8-26f5-ad70-79f2-30ba-631e.ngrok-free.app
t=2026-06-14T21:39:28+0530 lvl=info msg=start pg=/api/tunnels id=4fea5b59555de902
t=2026-06-14T21:39:28+0530 lvl=info msg=end pg=/api/tunnels id=4fea5b59555de902 status=200 dur=253.176µs
t=2026-06-14T21:40:00+0530 lvl=info msg="join connections" obj=join id=455e97f033ae l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:00+0530 lvl=info msg="join connections" obj=join id=c34421cd780b l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:00+0530 lvl=info msg="join connections" obj=join id=3ca5e639e4b3 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:00+0530 lvl=info msg="join connections" obj=join id=774b4f1e9276 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:00+0530 lvl=info msg="join connections" obj=join id=a0f4fc18e00d l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
